Date,Symbol,Open,High,Low,Close,Adj Close,Volume,LogReturn
1990-01-02,UKX,2425.500000,2443.300049,2425.500000,2434.100098,2434.100098,0,
1990-01-03,UKX,2445.800049,2466.199951,2445.800049,2463.699951,2463.699951,0,0.012087
1990-01-04,UKX,2463.699951,2479.399902,2451.600098,2451.600098,2451.600098,0,-0.004923
1990-01-05,UKX,2448.699951,2448.699951,2436.600098,2444.500000,2444.500000,0,-0.002900
1990-01-08,UKX,2444.500000,2445.600098,2423.800049,2431.300049,2431.300049,0,-0.005414
1990-01-09,UKX,2431.300049,2437.800049,2420.500000,2436.300049,2436.300049,0,0.002054
1990-01-10,UKX,2425.199951,2425.199951,2411.899902,2412.600098,2412.600098,0,-0.009775
1990-01-11,UKX,2412.600098,2421.000000,2396.500000,2417.899902,2417.899902,0,0.002194
1990-01-12,UKX,2402.899902,2402.899902,2370.300049,2380.100098,2380.100098,0,-0.015757
1990-01-15,UKX,2366.399902,2366.399902,2352.800049,2366.199951,2366.199951,0,-0.005857
1990-01-16,UKX,2366.199951,2369.699951,2329.500000,2349.100098,2349.100098,0,-0.007253
1990-01-17,UKX,2355.500000,2373.899902,2355.500000,2373.899902,2373.899902,0,0.010502
1990-01-18,UKX,2358.000000,2358.000000,2326.199951,2336.899902,2336.899902,0,-0.015709
1990-01-19,UKX,2336.899902,2349.300049,2319.699951,2335.000000,2335.000000,0,-0.000813
1990-01-22,UKX,2335.000000,2346.399902,2297.100098,2297.100098,2297.100098,0,-0.016364
1990-01-23,UKX,2297.100098,2305.899902,2272.600098,2291.100098,2291.100098,0,-0.002615
1990-01-24,UKX,2278.800049,2278.800049,2250.500000,2278.600098,2278.600098,0,-0.005471
1990-01-25,UKX,2288.699951,2308.100098,2288.699951,2289.899902,2289.899902,0,0.004947
1990-01-26,UKX,2297.500000,2325.500000,2297.500000,2314.500000,2314.500000,0,0.010686
1990-01-29,UKX,2317.500000,2333.300049,2317.500000,2328.800049,2328.800049,0,0.006159
1990-01-30,UKX,2328.800049,2334.000000,2321.300049,2322.000000,2322.000000,0,-0.002924
1990-01-31,UKX,2322.000000,2337.399902,2314.899902,2337.300049,2337.300049,0,0.006568
1990-02-01,UKX,2343.600098,2355.399902,2343.600098,2345.800049,2345.800049,0,0.003630
1990-02-02,UKX,2345.800049,2356.199951,2342.300049,2355.100098,2355.100098,0,0.003957
1990-02-05,UKX,2353.699951,2353.699951,2344.800049,2348.399902,2348.399902,0,-0.002849
1990-02-06,UKX,2345.399902,2345.399902,2320.000000,2321.100098,2321.100098,0,-0.011693
1990-02-07,UKX,2320.600098,2320.600098,2299.100098,2307.399902,2307.399902,0,-0.005920
1990-02-08,UKX,2321.000000,2331.199951,2321.000000,2331.000000,2331.000000,0,0.010176
1990-02-09,UKX,2323.899902,2323.899902,2308.500000,2313.600098,2313.600098,0,-0.007493
1990-02-12,UKX,2313.300049,2313.300049,2282.399902,2286.899902,2286.899902,0,-0.011608
1990-02-13,UKX,2286.899902,2299.399902,2285.800049,2293.199951,2293.199951,0,0.002751
1990-02-14,UKX,2297.600098,2310.600098,2297.600098,2298.300049,2298.300049,0,0.002222
1990-02-15,UKX,2298.300049,2314.399902,2289.300049,2313.800049,2313.800049,0,0.006721
1990-02-16,UKX,2319.600098,2334.399902,2319.600098,2325.899902,2325.899902,0,0.005216
1990-02-19,UKX,2318.100098,2318.100098,2294.899902,2297.100098,2297.100098,0,-0.012460
1990-02-20,UKX,2290.800049,2290.800049,2276.399902,2277.000000,2277.000000,0,-0.008789
1990-02-21,UKX,2261.699951,2261.699951,2246.000000,2259.699951,2259.699951,0,-0.007627
1990-02-22,UKX,2259.699951,2269.199951,2251.500000,2269.199951,2269.199951,0,0.004195
1990-02-23,UKX,2248.399902,2248.399902,2223.699951,2223.699951,2223.699951,0,-0.020255
1990-02-26,UKX,2223.699951,2249.399902,2208.399902,2249.300049,2249.300049,0,0.011447
1990-02-27,UKX,2249.300049,2257.500000,2249.199951,2254.800049,2254.800049,0,0.002442
1990-02-28,UKX,2254.800049,2265.600098,2253.699951,2255.399902,2255.399902,0,0.000266
1990-03-01,UKX,2246.199951,2246.199951,2236.000000,2238.399902,2238.399902,0,-0.007566
1990-03-02,UKX,2240.600098,2255.899902,2240.600098,2254.800049,2254.800049,0,0.007300
1990-03-05,UKX,2238.800049,2238.800049,2230.199951,2230.500000,2230.500000,0,-0.010836
1990-03-06,UKX,2230.500000,2238.199951,2211.800049,2216.000000,2216.000000,0,-0.006522
1990-03-07,UKX,2219.100098,2234.899902,2219.100098,2230.300049,2230.300049,0,0.006432
1990-03-08,UKX,2240.800049,2254.699951,2240.800049,2250.000000,2250.000000,0,0.008794
1990-03-09,UKX,2250.000000,2263.300049,2230.899902,2234.300049,2234.300049,0,-0.007002
1990-03-12,UKX,2229.100098,2229.100098,2216.699951,2222.800049,2222.800049,0,-0.005160
1990-03-13,UKX,2222.800049,2224.800049,2213.399902,2224.500000,2224.500000,0,0.000764
1990-03-14,UKX,2224.500000,2238.300049,2223.199951,2226.100098,2226.100098,0,0.000719
1990-03-15,UKX,2227.899902,2242.300049,2227.899902,2234.899902,2234.899902,0,0.003945
1990-03-16,UKX,2238.800049,2264.199951,2238.800049,2263.899902,2263.899902,0,0.012893
1990-03-19,UKX,2261.100098,2261.100098,2235.899902,2238.000000,2238.000000,0,-0.011506
1990-03-20,UKX,2244.800049,2259.699951,2244.800049,2259.699951,2259.699951,0,0.009649
1990-03-21,UKX,2250.300049,2250.300049,2230.100098,2250.300049,2250.300049,0,-0.004168
1990-03-22,UKX,2250.300049,2267.800049,2240.699951,2258.899902,2258.899902,0,0.003814
1990-03-23,UKX,2264.100098,2283.899902,2264.100098,2283.899902,2283.899902,0,0.011007
1990-03-26,UKX,2286.300049,2306.899902,2286.300049,2298.199951,2298.199951,0,0.006242
1990-03-27,UKX,2295.600098,2295.600098,2265.800049,2266.199951,2266.199951,0,-0.014022
1990-03-28,UKX,2270.800049,2280.399902,2270.800049,2275.000000,2275.000000,0,0.003876
1990-03-29,UKX,2275.000000,2276.300049,2259.899902,2263.000000,2263.000000,0,-0.005289
1990-03-30,UKX,2263.000000,2271.000000,2245.500000,2247.899902,2247.899902,0,-0.006695
1990-04-02,UKX,2245.000000,2245.000000,2211.600098,2221.600098,2221.600098,0,-0.011769
1990-04-03,UKX,2221.600098,2241.699951,2218.000000,2240.699951,2240.699951,0,0.008561
1990-04-04,UKX,2240.699951,2247.500000,2229.199951,2231.600098,2231.600098,0,-0.004069
1990-04-05,UKX,2231.600098,2239.500000,2220.000000,2239.500000,2239.500000,0,0.003534
1990-04-06,UKX,2239.500000,2243.199951,2221.000000,2221.100098,2221.100098,0,-0.008250
1990-04-09,UKX,2221.100098,2227.899902,2218.800049,2227.699951,2227.699951,0,0.002967
1990-04-10,UKX,2221.000000,2221.000000,2207.300049,2217.500000,2217.500000,0,-0.004589
1990-04-11,UKX,2217.500000,2219.899902,2211.899902,2215.500000,2215.500000,0,-0.000902
1990-04-12,UKX,2215.500000,2222.199951,2209.500000,2222.100098,2222.100098,0,0.002975
1990-04-17,UKX,2222.100098,2225.699951,2213.800049,2214.500000,2214.500000,0,-0.003426
1990-04-18,UKX,2214.500000,2223.899902,2205.699951,2205.899902,2205.899902,0,-0.003891
1990-04-19,UKX,2194.899902,2194.899902,2180.500000,2184.699951,2184.699951,0,-0.009657
1990-04-20,UKX,2184.800049,2191.100098,2184.800049,2187.100098,2187.100098,0,0.001098
1990-04-23,UKX,2185.100098,2185.100098,2159.100098,2159.199951,2159.199951,0,-0.012839
1990-04-24,UKX,2159.199951,2168.699951,2150.399902,2159.899902,2159.899902,0,0.000324
1990-04-25,UKX,2159.899902,2167.600098,2142.899902,2143.100098,2143.100098,0,-0.007808
1990-04-26,UKX,2143.100098,2145.800049,2132.500000,2133.600098,2133.600098,0,-0.004443
1990-04-27,UKX,2133.600098,2140.199951,2105.000000,2106.600098,2106.600098,0,-0.012735
1990-04-30,UKX,2106.600098,2109.800049,2084.399902,2103.399902,2103.399902,0,-0.001520
1990-05-01,UKX,2111.399902,2126.000000,2111.399902,2117.899902,2117.899902,0,0.006870
1990-05-02,UKX,2121.699951,2145.100098,2121.699951,2137.600098,2137.600098,0,0.009259
1990-05-03,UKX,2137.600098,2145.199951,2130.199951,2134.899902,2134.899902,0,-0.001264
1990-05-04,UKX,2146.399902,2168.000000,2146.399902,2162.199951,2162.199951,0,0.012706
1990-05-08,UKX,2173.300049,2192.300049,2173.300049,2182.000000,2182.000000,0,0.009116
1990-05-09,UKX,2179.699951,2179.699951,2160.600098,2162.699951,2162.699951,0,-0.008884
