Date,Symbol,Open,High,Low,Close,Volume,OHLC_Consistent,LogReturn
1996-10-30,USDJPY,114.370003,114.480003,113.610001,114.18,0,True,
1996-11-01,USDJPY,113.5,113.5,113.5,113.5,0,True,-0.00597332
1996-11-04,USDJPY,113.279999,113.980003,112.949997,113.879997,0,True,0.0033424
1996-11-05,USDJPY,113.709999,114.330002,113.449997,114.25,0,True,0.00324379
1996-11-06,USDJPY,114.230003,114.68,113.650002,113.949997,0,True,-0.0026293
1996-11-08,USDJPY,111.989998,112.309998,111.349998,111.739998,0,True,-0.019585
1996-11-11,USDJPY,111.510002,111.959999,110.860001,111.120003,0,True,-0.005564
1996-11-12,USDJPY,111.019997,111.550003,110.879997,111.330002,0,True,0.00188806
1996-11-13,USDJPY,111.349998,111.349998,111.349998,111.349998,0,True,0.0001796
1996-11-15,USDJPY,111.43,111.519997,110.550003,111.050003,0,True,-0.0026978
1996-11-18,USDJPY,110.879997,111.669998,110.800003,111.400002,0,True,0.00314676
1996-11-19,USDJPY,111.300003,111.800003,111.199997,111.580002,0,True,0.0016145
1996-11-20,USDJPY,111.589996,111.699997,111.25,111.519997,0,True,-0.00053792
1996-11-21,USDJPY,111.43,111.870003,111.199997,111.25,0,True,-0.002424
1996-11-22,USDJPY,111.239998,111.699997,111.029999,111.419998,0,True,0.00152691
1996-11-26,USDJPY,112.620003,112.779999,112.290001,112.400002,0,True,0.00875712
1996-11-28,USDJPY,113.120003,113.93,113.050003,113.669998,0,True,0.01123555
1996-11-29,USDJPY,113.75,113.940002,113.349998,113.800003,0,True,0.00114305
1996-12-02,USDJPY,113.739998,114.790001,113.5,114.519997,0,True,0.0063069
1996-12-03,USDJPY,114.459999,114.599998,112.830002,113.300003,0,True,-0.01071026
1996-12-04,USDJPY,113.349998,113.449997,112.900002,113.050003,0,True,-0.00220897
1996-12-05,USDJPY,112.849998,113.300003,112.050003,112.25,0,True,-0.0071017
1996-12-06,USDJPY,112.300003,113.0,111.730003,112.949997,0,True,0.00621669
1996-12-09,USDJPY,113.120003,113.480003,112.800003,113.400002,0,True,0.00397619
1996-12-10,USDJPY,113.459999,113.720001,112.959999,113.349998,0,True,-0.00044104
1996-12-11,USDJPY,113.099998,113.330002,112.580002,112.879997,0,True,-0.00415508
1996-12-12,USDJPY,112.849998,113.57,112.43,113.129997,0,True,0.00221229
1996-12-13,USDJPY,113.040001,114.0,112.639999,113.849998,0,True,0.0063442
1996-12-16,USDJPY,113.980003,114.290001,113.599998,113.82,0,True,-0.00026353
1996-12-17,USDJPY,113.699997,114.150002,113.419998,113.82,0,True,0.0
1996-12-18,USDJPY,113.75,113.809998,113.25,113.629997,0,True,-0.00167072
1996-12-19,USDJPY,113.400002,114.190002,113.300003,114.010002,0,True,0.00333865
1996-12-20,USDJPY,114.0,114.410004,113.989998,114.25,0,True,0.00210285
1996-12-23,USDJPY,114.150002,114.349998,113.839996,114.050003,0,True,-0.00175205
1996-12-24,USDJPY,114.150002,114.5,114.099998,114.400002,0,True,0.00306412
1996-12-25,USDJPY,114.449997,114.690002,114.400002,114.629997,0,True,0.00200843
1996-12-26,USDJPY,114.599998,115.080002,114.400002,114.879997,0,True,0.00217856
1996-12-27,USDJPY,114.75,116.120003,114.699997,115.25,0,True,0.0032156
1996-12-30,USDJPY,115.690002,116.199997,115.5,116.199997,0,True,0.00820914
1996-12-31,USDJPY,116.080002,116.43,115.589996,115.900002,0,True,-0.00258505
1997-01-01,USDJPY,115.949997,115.949997,115.75,115.849998,0,True,-0.00043153
1997-01-02,USDJPY,116.019997,116.199997,115.279999,115.650002,0,True,-0.00172784
1997-01-03,USDJPY,115.669998,116.699997,115.300003,116.410004,0,True,0.00655007
