Date,Symbol,Open,High,Low,Close,Adj Close,Volume,LogReturn
1990-01-02,DAX,1788.890015,1788.890015,1788.890015,1788.890015,1788.890015,0,
1990-01-03,DAX,1867.290039,1867.290039,1867.290039,1867.290039,1867.290039,0,0.042893
1990-01-04,DAX,1830.920044,1830.920044,1830.920044,1830.920044,1830.920044,0,-0.019670
1990-01-05,DAX,1812.900024,1812.900024,1812.900024,1812.900024,1812.900024,0,-0.009891
1990-01-08,DAX,1841.469971,1841.469971,1841.469971,1841.469971,1841.469971,0,0.015636
1990-01-09,DAX,1865.520020,1865.520020,1865.520020,1865.520020,1865.520020,0,0.012976
1990-01-10,DAX,1843.050049,1843.050049,1843.050049,1843.050049,1843.050049,0,-0.012118
1990-01-11,DAX,1843.420044,1843.420044,1843.420044,1843.420044,1843.420044,0,0.000201
1990-01-12,DAX,1860.959961,1860.959961,1860.959961,1860.959961,1860.959961,0,0.009470
1990-01-15,DAX,1840.380005,1840.380005,1840.380005,1840.380005,1840.380005,0,-0.011120
1990-01-16,DAX,1806.099976,1806.099976,1806.099976,1806.099976,1806.099976,0,-0.018802
1990-01-17,DAX,1810.609985,1810.609985,1810.609985,1810.609985,1810.609985,0,0.002494
1990-01-18,DAX,1771.670044,1771.670044,1771.670044,1771.670044,1771.670044,0,-0.021741
1990-01-19,DAX,1775.290039,1775.290039,1775.290039,1775.290039,1775.290039,0,0.002041
1990-01-22,DAX,1787.079956,1787.079956,1787.079956,1787.079956,1787.079956,0,0.006619
1990-01-23,DAX,1785.000000,1785.000000,1785.000000,1785.000000,1785.000000,0,-0.001165
1990-01-24,DAX,1751.619995,1751.619995,1751.619995,1751.619995,1751.619995,0,-0.018877
1990-01-25,DAX,1791.520020,1791.520020,1791.520020,1791.520020,1791.520020,0,0.022523
1990-01-26,DAX,1798.219971,1798.219971,1798.219971,1798.219971,1798.219971,0,0.003733
1990-01-29,DAX,1815.689941,1815.689941,1815.689941,1815.689941,1815.689941,0,0.009668
