Date,Return,CondVol,StdResid,CondVar
1990-04-20,-0.008823458678,0.007996096312,-1.176265908,6.393755623e-05
1990-04-23,-0.0122192766,0.00862833369,-1.487535678,7.444814226e-05
1990-04-24,-0.002086461585,0.009855660639,-0.2849453976,9.713404664e-05
1990-04-25,0.005042399731,0.009501525051,0.488067492,9.027897829e-05
1990-04-26,0.002676936658,0.009096773445,0.2742554009,8.275128712e-05
1990-04-27,-0.01151026412,0.008717153906,-1.349790172,7.598877221e-05
1990-04-30,0.005121931063,0.009692946449,0.4562325899,9.395321086e-05
1990-05-01,0.00437377072,0.009276423909,0.4521311517,8.605204055e-05
1990-05-02,0.006689422342,0.008885606901,0.72999146,7.895400999e-05
1990-05-03,0.003253479389,0.008519241837,0.366568272,7.257748148e-05
1990-05-04,0.008368521472,0.008176130847,0.9944172062,6.684911563e-05
1990-05-07,0.006304103703,0.007855127488,0.7926049427,6.170302786e-05
1990-05-08,0.004336781141,0.007555132736,0.5551373997,5.708003066e-05
1990-05-09,0.00248215119,0.007275091258,0.3131217563,5.292695281e-05
1990-05-10,0.002796128143,0.007013988014,0.3612741734,4.919602786e-05
1990-05-11,0.02351289063,0.0067708452,3.435398752,4.584434472e-05
1990-05-14,0.007782140442,0.006544719562,1.249497137,4.283335415e-05
1990-05-15,-0.001325757921,0.0063347001,-0.2245070238,4.012842535e-05
1990-05-16,-0.000790644985,0.006168439778,-0.1899787204,3.804964929e-05
1990-05-17,0.001326805844,0.006005783025,0.1602307825,3.606942974e-05
1990-05-18,0.000479513755,0.005835412727,0.03105712081,3.40520417e-05
1990-05-21,0.009429753667,0.005678002952,1.603552623,3.223971752e-05
1990-05-22,0.001200377025,0.005532776232,0.2088410012,3.061161284e-05
1990-05-23,0.002396523461,0.005398981577,0.3879041653,2.914900207e-05
1990-05-24,-0.002452293229,0.005275894526,-0.5150076795,2.783506305e-05
1990-05-25,-0.01074363985,0.005285509719,-2.111450757,2.793661299e-05
1990-05-29,0.01697398851,0.00695500599,2.34338656,4.837210833e-05
1990-05-30,0.0005820875997,0.006715964199,0.1151117656,4.510417513e-05
1990-05-31,0.001024875111,0.006493721696,0.1083054444,4.216842146e-05
1990-06-01,0.005328614494,0.0062873748,0.7985670898,3.953108187e-05
1990-06-04,0.01160763693,0.006096049796,1.87572112,3.716182312e-05
1990-06-05,-0.002070675337,0.005918901524,-0.3459223359,3.503339525e-05
1990-06-06,-0.004592747237,0.005818009859,-0.8589307955,3.384923872e-05
1990-06-07,-0.004971778346,0.006032721898,-0.9042623347,3.63937335e-05
1990-06-08,-0.01230171802,0.006285748695,-2.035868063,3.951063665e-05
1990-06-11,0.008107365995,0.008098070993,0.9116892818,6.557875382e-05
1990-06-12,0.01269455683,0.007782145979,1.620157191,6.056179604e-05
1990-06-13,-0.003692833332,0.007486975558,-0.4855967046,5.605480301e-05
1990-06-14,-0.005496029314,0.007368926354,-0.8076175415,5.430107561e-05
1990-06-15,2.758297634e-05,0.007521989229,-0.0643509506,5.658032196e-05
1990-06-18,-0.01675527583,0.007246980216,-2.358801069,5.251872225e-05
1990-06-19,0.004445372489,0.009978387637,0.358942754,9.956821983e-05
1990-06-20,0.001755940621,0.009544437854,0.1629403866,9.109629395e-05
1990-06-21,0.003807820343,0.009137041321,0.3855686393,8.348552411e-05
