Date,Symbol,Open,High,Low,Close
2009-09-18,OVX,,,,41.6700
2009-09-21,OVX,,,,41.4000
2009-09-22,OVX,,,,40.3800
2009-09-23,OVX,,,,41.2300
2009-09-24,OVX,,,,44.2800
2009-09-25,OVX,,,,44.2700
2009-09-28,OVX,,,,43.9100
2009-09-29,OVX,,,,43.7400
2009-09-30,OVX,,,,45.2300
2009-10-01,OVX,,,,45.5900
2009-10-02,OVX,,,,45.2200
2009-10-05,OVX,,,,45.1400
2009-10-06,OVX,,,,45.4700
2009-10-07,OVX,,,,45.2500
2009-10-08,OVX,,,,43.3600
2009-10-09,OVX,,,,43.6000
2009-10-12,OVX,,,,43.2000
2009-10-13,OVX,,,,41.5400
2009-10-14,OVX,,,,42.0900
2009-10-15,OVX,,,,40.0900
2009-10-16,OVX,,,,36.9100
2009-10-19,OVX,,,,38.4100
2009-10-20,OVX,,,,39.0600
2009-10-21,OVX,,,,39.9600
2009-10-22,OVX,,,,40.4700
2009-10-23,OVX,,,,39.5000
2009-10-26,OVX,,,,40.5700
2009-10-27,OVX,,,,39.8200
2009-10-28,OVX,,,,41.2400
2009-10-29,OVX,,,,39.4100
2009-10-30,OVX,,,,41.1300
2009-11-02,OVX,,,,41.7800
2009-11-03,OVX,,,,41.5800
2009-11-04,OVX,,,,40.6000
2009-11-05,OVX,,,,38.9800
2009-11-06,OVX,,,,38.7000
2009-11-09,OVX,,,,39.0600
2009-11-10,OVX,,,,38.1200
2009-11-11,OVX,,,,37.8900
2009-11-12,OVX,,,,38.7800
2009-11-13,OVX,,,,38.6700
2009-11-16,OVX,,,,37.5600
2009-11-17,OVX,,,,37.0100
2009-11-18,OVX,,,,35.6900
2009-11-19,OVX,,,,36.9900
2009-11-20,OVX,,,,36.8000
2009-11-23,OVX,,,,35.6700
2009-11-24,OVX,,,,37.0600
2009-11-25,OVX,,,,36.5700
2009-11-27,OVX,,,,43.3600
2009-11-30,OVX,,,,41.1700
2009-12-01,OVX,,,,40.2300
2009-12-02,OVX,,,,40.2900
2009-12-03,OVX,,,,40.5600
2009-12-04,OVX,,,,41.1800
2009-12-07,OVX,,,,42.4900
2009-12-08,OVX,,,,42.1900
2009-12-09,OVX,,,,43.0800
2009-12-10,OVX,,,,42.9000
2009-12-11,OVX,,,,43.0500
2009-12-14,OVX,,,,42.1600
2009-12-15,OVX,,,,41.5400
2009-12-16,OVX,,,,39.8900
2009-12-17,OVX,,,,39.0800
2009-12-18,OVX,,,,40.5800
2009-12-21,OVX,,,,39.2500
2009-12-22,OVX,,,,37.8100
2009-12-23,OVX,,,,36.0000
2009-12-24,OVX,,,,35.1800
2009-12-28,OVX,,,,36.4800
2009-12-29,OVX,,,,35.7800
2009-12-30,OVX,,,,34.9500
2009-12-31,OVX,,,,36.2600
2010-01-04,OVX,,,,35.4400
2010-01-05,OVX,,,,34.2700
2010-01-06,OVX,,,,34.4000
2010-01-07,OVX,,,,33.6100
2010-01-08,OVX,,,,31.3400
2010-01-11,OVX,,,,30.0000
2010-01-12,OVX,,,,31.6100
2010-01-13,OVX,,,,32.7500
2010-01-14,OVX,,,,30.8600
2010-01-15,OVX,,,,29.8000
2010-01-19,OVX,,,,28.5200
2010-01-20,OVX,,,,31.1500
2010-01-21,OVX,,,,32.5100
2010-01-22,OVX,,,,34.8500
2010-01-25,OVX,,,,33.3300
2010-01-26,OVX,,,,33.7800
2010-01-27,OVX,,,,34.2300
2010-01-28,OVX,,,,33.2800
2010-01-29,OVX,,,,34.0500
2010-02-01,OVX,,,,32.4500
2010-02-02,OVX,,,,32.4400
2010-02-03,OVX,,,,34.6500
2010-02-04,OVX,,,,38.5100
2010-02-05,OVX,,,,39.9900
2010-02-08,OVX,,,,39.5300
2010-02-09,OVX,,,,38.7400
2010-02-10,OVX,,,,37.9100
2010-02-11,OVX,,,,36.0400
2010-02-12,OVX,,,,36.0400
2010-02-16,OVX,,,,36.1500
2010-02-17,OVX,,,,35.3800
