Date,OriginDate,xi,beta,u,n_exceed,n_hist,converged,sigma,mu
2013-09-30,2013-09-27,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.006383277528,0.0003553105254894065
2013-10-01,2013-09-30,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.00663847682,0.00039559390018035004
2013-10-02,2013-10-01,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.00647279395,0.00010834877408502988
2013-10-03,2013-10-02,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.006321593061,0.0002853095360987115
2013-10-04,2013-10-03,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.007012969042,0.000456520237811283
2013-10-07,2013-10-04,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.006828683097,0.00012757997022758844
2013-10-08,2013-10-07,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.007341314329,0.00044673869309899347
2013-10-09,2013-10-08,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.008494514529,0.0005259790326059173
2013-10-10,2013-10-09,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.008240444696,0.0002598806267380509
2013-10-11,2013-10-10,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.007997992178,-0.0001709988675491561
2013-10-14,2013-10-11,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.007766744511,0.00014319583927440566
2013-10-15,2013-10-14,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.007546301849,0.00018829175458084588
2013-10-16,2013-10-15,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.007784718545,0.00041693733208879313
2013-10-17,2013-10-16,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.007563431684,-9.836911366082474e-06
2013-10-18,2013-10-17,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.007352592291,0.00013387559329869347
2013-10-21,2013-10-18,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.007151822775,0.00013785007418060102
2013-10-22,2013-10-21,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.006960775741,0.00026976023125507495
2013-10-23,2013-10-22,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.006779054178,0.0001543763601825239
2013-10-24,2013-10-23,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.006834154559,0.0003687078236165181
2013-10-25,2013-10-24,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.006658691283,0.00020496794388862039
2013-10-28,2013-10-25,0.10387387850338606,0.5600050017267599,1.699358503019028,300,5982,True,0.006491991649,0.0001817579533623971
2013-10-29,2013-10-28,0.10649989613719299,0.556205739716121,1.6996928739825754,301,6003,True,0.006333487294,0.00025038072831051056
2013-10-30,2013-10-29,0.10649989613719299,0.556205739716121,1.6996928739825754,301,6003,True,0.006182441596,0.00016440333529282522
2013-10-31,2013-10-30,0.10649989613719299,0.556205739716121,1.6996928739825754,301,6003,True,0.006306123532,0.00037644491025905225
2013-11-01,2013-10-31,0.10649989613719299,0.556205739716121,1.6996928739825754,301,6003,True,0.006340676124,0.00035533348279874824
2013-11-04,2013-11-01,0.10649989613719299,0.556205739716121,1.6996928739825754,301,6003,True,0.006189256489,0.000218535518552717
2013-11-05,2013-11-04,0.10649989613719299,0.556205739716121,1.6996928739825754,301,6003,True,0.006045761361,0.00020505066829087232
2013-11-06,2013-11-05,0.10649989613719299,0.556205739716121,1.6996928739825754,301,6003,True,0.006008274028,0.00033429988131648304
2013-11-07,2013-11-06,0.10649989613719299,0.556205739716121,1.6996928739825754,301,6003,True,0.005874390314,0.00019101254539723514
2013-11-08,2013-11-07,0.10649989613719299,0.556205739716121,1.6996928739825754,301,6003,True,0.007511402546,0.0005464305752206494
2013-11-11,2013-11-08,0.10649989613719299,0.556205739716121,1.6996928739825754,301,6003,True,0.007301606512,6.849148512053094e-06
2013-11-12,2013-11-11,0.10649989613719299,0.556205739716121,1.6996928739825754,301,6003,True,0.007101950852,0.0002626723986020492
2013-11-13,2013-11-12,0.10649989613719299,0.556205739716121,1.6996928739825754,301,6003,True,0.006976618523,0.0003254518982932775
2013-11-14,2013-11-13,0.10649989613719299,0.556205739716121,1.6996928739825754,301,6003,True,0.006792922904,0.00011382708310761491
2013-11-15,2013-11-14,0.10649989613719299,0.556205739716121,1.6996928739825754,301,6003,True,0.006618397941,0.00017947151475105824
2013-11-18,2013-11-15,0.10649989613719299,0.556205739716121,1.6996928739825754,301,6003,True,0.006452695842,0.0001918910438906997
2013-11-19,2013-11-18,0.10649989613719299,0.556205739716121,1.6996928739825754,301,6003,True,0.006449246713,0.00035245965804649865
2013-11-20,2013-11-19,0.10649989613719299,0.556205739716121,1.6996928739825754,301,6003,True,0.006350876908,0.0003187975220224071
2013-11-21,2013-11-20,0.10649989613719299,0.556205739716121,1.6996928739825754,301,6003,True,0.00636014398,0.0003511858413040164
