index,u,n_obs,n_exceed,lb_stat,lb_p,runs_observed,runs_z,runs_p,theta_ferro_segers
SPX,1.7122143289999996,9225,462,18.399642910113904,0.048584967921198007,881,0.24908837455862326,0.8032924218640767,1.0
NDX,1.709899530799999,9225,462,15.854433887594087,0.10387590951080516,889,1.124956586986038,0.26060743113041873,1.0
UKX,1.6792334405999993,9253,463,9.35742855233901,0.4985512450047743,861,-2.1514976253335774,0.031436943051401434,1.0
DAX,1.7278391979499998,9268,464,8.840036023771905,0.5473491773455793,885,0.26879605185982736,0.7880866317303297,1.0
NKY,1.6698006704,8988,450,5.466972000071873,0.8578847456651544,865,1.0052126659516292,0.3147944575202066,1.0
HSI,1.6387866377000004,9039,452,21.254119624943662,0.019389631512582946,835,-2.746399825726541,0.006025328345422798,1.0
