n_exceed,sd_xi,pct_negative
90,0.1348991246953481,18.333333333333332
180,0.08906205940193888,7.666666666666666
190,0.08732364950091275,6.166666666666667
220,0.07975337115792144,4.333333333333334
230,0.07796254418722467,4.666666666666667
270,0.07198076011417172,3.3333333333333335
280,0.07158410422591116,2.5
360,0.06311611537139497,1.3333333333333335
370,0.06288848748786306,1.1666666666666667
450,0.05699899672552138,0.33333333333333337
460,0.05584785825457625,0.8333333333333334
680,0.046698370954164806,0.0
690,0.04512567906781742,0.0
700,0.04467120803006991,0.33333333333333337
900,0.03971045881739219,0.0
920,0.038558462408648235,0.0
930,0.03893990261925528,0.0
