index,n_rows,n_valid,n_invalid,xi_min,xi_max,xi_negative_days,n_exceed_min,n_exceed_max,breach_01,rate_01_pct
SPX,3243,3243,0,0.09768268787136249,0.1646253740862864,0,300,461,39,1.203
NDX,3243,3243,0,0.02621201783025704,0.07322893725304469,0,300,461,49,1.511
UKX,3258,3258,0,-0.011517226964521638,0.0786014704826869,336,300,463,41,1.258
DAX,3267,3267,0,0.1530841617209919,0.18936047242663498,0,300,463,41,1.255
NKY,3150,3150,0,0.04936651534245332,0.12047708459641962,0,292,449,38,1.206
HSI,3172,3172,0,0.12026117531439288,0.177146560084054,0,294,452,22,0.694
