index,tau,predictor,coef,t,p
SPX,0.01,const,-0.02675770636879003,-66.96697226638267,0.0
SPX,0.01,RangePct,-0.006289956669845627,-6.9592760957635305,3.653676705519159e-12
SPX,0.01,NegReturn,-0.0008087468797531999,-1.2388350742864274,0.21543813930985184
SPX,0.01,LogIV,-0.007211019940884231,-10.500094911571336,1.2040695872404785e-25
SPX,0.01,DXY_ret,0.001522852577207929,3.0382802307331858,0.002385990745319854
SPX,0.01,TermSpread_diff,-0.0003855854701324754,-0.9417105799174375,0.3463655255496009
NDX,0.01,const,-0.03281602188984123,-45.209009931377416,0.0
NDX,0.01,RangePct,-0.010479886731302311,-6.171741028545069,7.385679196257964e-10
NDX,0.01,NegReturn,-0.0010212716483562756,-0.7374741400426168,0.46087483375665406
NDX,0.01,LogIV,-0.005203152304910225,-4.3305679165518045,1.5215828895597436e-05
NDX,0.01,DXY_ret,0.002128623520374573,2.3796946760929716,0.017370920270636445
NDX,0.01,TermSpread_diff,-0.00036085056566731444,-0.5214688523748544,0.6020674084006892
UKX,0.01,const,-0.02814984411015825,-50.06490286230537,0.0
UKX,0.01,RangePct,-0.008481321344003145,-10.709885383144947,1.8756845128579417e-26
UKX,0.01,NegReturn,-0.001946727440053475,-2.983282034861771,0.002866780869545567
UKX,0.01,LogIV,-0.006793495661131271,-8.14168549211177,4.977745570747841e-16
UKX,0.01,DXY_ret,0.0009005826491104152,1.196158281598498,0.23169666372546652
UKX,0.01,TermSpread_diff,-0.00028648396801350673,-0.43203883281577116,0.6657335103487689
DAX,0.01,const,-0.029890247163967487,-43.39537975872518,0.0
DAX,0.01,RangePct,-0.00217177105680455,-2.1932952914591364,0.028328179960584274
DAX,0.01,NegReturn,-0.0023616004511679556,-2.7872113547100215,0.005334774259497647
DAX,0.01,LogIV,-0.008218730720591344,-7.502145983186619,7.289067976042856e-14
DAX,0.01,DXY_ret,0.0008754460509061701,1.070993783867993,0.28421961555841035
DAX,0.01,TermSpread_diff,-0.00015617209723539638,-0.20770334415131045,0.835468361214889
NKY,0.01,const,-0.036776072396666026,-40.1251985300292,3.857321828520107e-300
NKY,0.01,RangePct,-0.011864570801449266,-12.538410881748172,1.855062856990834e-35
NKY,0.01,NegReturn,-0.003817120703472905,-2.768698123981282,0.005651731046788102
NKY,0.01,LogIV,-0.00639829050626536,-7.256649292429991,4.669488139239378e-13
NKY,0.01,DXY_ret,0.0007301657366016985,0.5884611189359253,0.5562531387710137
NKY,0.01,TermSpread_diff,0.0021274524322626113,1.8150684512623774,0.0695816934878278
HSI,0.01,const,-0.03036068132767139,-40.173244597276074,5.49279300754005e-293
HSI,0.01,RangePct,-0.0016898392913732296,-2.526196929703712,0.011572047502633997
HSI,0.01,NegReturn,-0.0030525680764332264,-4.291841333393647,1.8175513390009993e-05
HSI,0.01,LogIV,-0.00599978870468533,-6.678991675718876,2.76724537720894e-11
HSI,0.01,DXY_ret,-0.00187647640020705,-1.9826635316078238,0.04747919013195715
HSI,0.01,TermSpread_diff,0.00013651824526608042,0.19133783997525797,0.848271460846401
