Date,OriginDate,xi,beta,u,n_exceed,n_hist,converged,sigma,mu
2013-09-30,2013-09-27,-0.00128413978253894,0.5689227206098221,1.6881700455000002,300,5995,True,0.007169048571,0.00020472463820192868
2013-10-01,2013-09-30,-0.001196122224245868,0.5689187566937702,1.68812523125,300,5996,True,0.007516608328,0.0002012769700073345
2013-10-02,2013-10-01,-0.0012655120985338509,0.5690085589830371,1.6880804169999999,300,5997,True,0.007321669843,0.00011726223635186639
2013-10-03,2013-10-02,-0.0013076488964276266,0.5690393126568154,1.6880356027499996,300,5998,True,0.007243252786,0.00015279829751282514
2013-10-04,2013-10-03,-0.001375632564060886,0.5691291268870373,1.6879907884999996,300,5999,True,0.007060663835,9.327436856328543e-05
2013-10-07,2013-10-04,-0.0014436215921882496,0.5692189517486925,1.6879459742500003,300,6000,True,0.006886400551,0.00010484661569249354
2013-10-08,2013-10-07,-0.001495149669337057,0.5692948843686266,1.68790116,300,6001,True,0.006786158849,0.0001424864824029915
2013-10-09,2013-10-08,0.002254028015197359,0.5645616449393625,1.6887526307499998,301,6002,True,0.007687726962,0.00023948190959815693
2013-10-10,2013-10-09,0.002187078527886554,0.5646509570121372,1.6887078164999998,301,6003,True,0.00765448932,0.00016299416161938418
2013-10-11,2013-10-10,0.0021201237384377916,0.5647402796811665,1.6886630022499995,301,6004,True,0.007563393501,-5.0291130624427124e-05
2013-10-14,2013-10-11,0.0020531636468529117,0.5648296129472854,1.6886181880000002,301,6005,True,0.007407232782,1.4336848856054234e-05
2013-10-15,2013-10-14,0.0019861982531296004,0.5649189568113382,1.6885733737500002,301,6006,True,0.007220373801,7.780867416177714e-05
2013-10-16,2013-10-15,0.0019192275572688534,0.5650083112741616,1.6885285595,301,6007,True,0.007060578162,4.184461824846379e-05
2013-10-17,2013-10-16,0.0018732558806955554,0.5650226880845669,1.6884837452499997,301,6008,True,0.006892949528,7.470924361681244e-05
2013-10-18,2013-10-17,0.001805515020256231,0.5651120518873314,1.6884389309999996,301,6009,True,0.006727546188,0.0001055210161850827
2013-10-21,2013-10-18,0.0017361459357063311,0.5652255680746052,1.6883941167500003,301,6010,True,0.006600933509,3.406334396977972e-05
2013-10-22,2013-10-21,0.0016684576223695302,0.5653149568959264,1.6883493025,301,6011,True,0.006465407792,5.9692350116378676e-05
2013-10-23,2013-10-22,0.0015902798002372354,0.5653586449152408,1.6883044882499998,301,6012,True,0.006347809623,4.3246801699776266e-05
2013-10-24,2013-10-23,0.001523024164975096,0.5654480477128684,1.6882596739999998,301,6013,True,0.006310873532,0.00014921155124383856
2013-10-25,2013-10-24,0.001466387847792001,0.5655650691809468,1.6882148597499995,301,6014,True,0.006198060859,4.8165760422247276e-05
2013-10-28,2013-10-25,0.0013986306366903405,0.5656544975505264,1.6881700455000002,301,6015,True,0.006071448915,9.980954141849789e-05
2013-10-29,2013-10-28,0.0013308680645762443,0.5657439365251354,1.68812523125,301,6016,True,0.005939973371,0.00010586483146786223
2013-10-30,2013-10-29,0.001263100131451143,0.5658333861056123,1.6880804169999999,301,6017,True,0.005862275789,3.165581093969507e-05
2013-10-31,2013-10-30,0.0013911431404459162,0.5657709058639754,1.6880356027499996,301,6018,True,0.005753155345,0.0001084219563964664
2013-11-01,2013-10-31,0.0013122611073206336,0.5658603526373548,1.6879907884999996,301,6019,True,0.00614263448,0.00019078506821755477
2013-11-04,2013-11-01,0.0012333728349541717,0.5659498100162698,1.6879459742500003,301,6020,True,0.006017259229,0.00010788655416081941
2013-11-05,2013-11-04,0.001154478323343866,0.5660392780015622,1.68790116,301,6021,True,0.005911076258,6.508952522961929e-05
2013-11-06,2013-11-05,0.003647452532676323,0.5628856804712881,1.6877856950499996,302,6022,True,0.005867461274,0.00014148875535100792
2013-11-07,2013-11-06,0.0034666661014740962,0.5631045849238581,1.6876702300999993,302,6023,True,0.005767514314,0.00012195307801556379
2013-11-08,2013-11-07,0.0033403170556178443,0.5632600875633766,1.6875547651499987,302,6024,True,0.006126503104,0.000188165237323632
2013-11-11,2013-11-08,0.0031296290607982606,0.5634905837984256,1.6874393002000003,302,6025,True,0.006003390477,9.456006701637557e-05
2013-11-12,2013-11-11,0.0029733076432901686,0.5637151325706348,1.68732383525,302,6026,True,0.005891654421,7.981977346044022e-05
2013-11-13,2013-11-12,0.002810695733301947,0.5639059878244206,1.6872083702999996,302,6027,True,0.005782148542,0.00011610323247481999
2013-11-14,2013-11-13,-0.0008305042740924806,0.5676576772302752,1.6884837452499997,302,6028,True,0.007586754893,0.00027701463129923675
2013-11-15,2013-11-14,-0.0009096501109835398,0.5677474227057757,1.6884389309999996,302,6029,True,0.007398557125,5.2130507237223636e-05
2013-11-18,2013-11-15,-0.000988802201055461,0.5678371788222791,1.6883941167500003,302,6030,True,0.007214704981,6.729105433753851e-05
2013-11-19,2013-11-18,-0.0010679605443107976,0.5679269455806292,1.6883493025,302,6031,True,0.007042494549,6.277704113807035e-05
2013-11-20,2013-11-19,-0.0011471251407482175,0.5680167229816651,1.6883044882499998,302,6032,True,0.006997952138,0.00015630646218045422
2013-11-21,2013-11-20,-0.0012262959903674986,0.5681065110262272,1.6882596739999998,302,6033,True,0.006890865007,0.00014193228838346394
2013-11-22,2013-11-21,-0.001305473093168974,0.5681963097151567,1.6882148597499995,302,6034,True,0.006724600594,0.00011308145575601421
2013-11-25,2013-11-22,-0.0012149337737354846,0.5681924683827008,1.6881700455000002,302,6035,True,0.006580405102,0.0001252499781063828
2013-11-26,2013-11-25,-0.0012581892677260248,0.5682232990067893,1.68812523125,302,6036,True,0.006435888458,7.914208500934584e-05
2013-11-27,2013-11-26,-0.0013262588461405592,0.5683131055094275,1.6880804169999999,302,6037,True,0.006982488212,0.00021230855131944434
2013-11-28,2013-11-27,-0.001394333799223491,0.5684029226569365,1.6880356027499996,302,6038,True,0.006812927143,9.082168170824946e-05
2013-11-29,2013-11-28,-0.0014624141269737672,0.5684927504501563,1.6879907884999996,302,6039,True,0.006650752012,0.00010493521928140554
2013-12-02,2013-11-29,-0.0015138278126730297,0.5685687037501452,1.6879459742500003,302,6040,True,0.00650206815,0.00012003532045531777
2013-12-03,2013-12-02,-0.0015695074543014046,0.5686863253110402,1.68790116,302,6041,True,0.006994628413,0.00020766006255348163
2013-12-04,2013-12-03,0.001244452941714047,0.5653064768639429,1.6877856950499996,303,6042,True,0.007613225853,0.00022157645423887115
2013-12-05,2013-12-04,0.0010409421495773952,0.5655370109382004,1.6876702300999993,303,6043,True,0.007519233797,0.00015218754874667855
2013-12-06,2013-12-05,0.0008373898459271834,0.5657676155147384,1.6875547651499987,303,6044,True,0.007352706375,0.00013372205181650006
2013-12-09,2013-12-06,0.000633796030767908,0.5659982906079313,1.6874393002000003,303,6045,True,0.00720034946,2.0532806936742224e-05
2013-12-10,2013-12-09,0.00043016070409185314,0.5662290362321669,1.68732383525,303,6046,True,0.007018325423,0.00010050658574449825
2013-12-11,2013-12-10,0.00022648386590262692,0.5664598524018207,1.6872083702999996,303,6047,True,0.007116614315,0.00017587908808258798
2013-12-12,2013-12-11,2.2765516200173863e-05,0.5666907391312721,1.6870929053499992,303,6048,True,0.006996970583,0.00014044152276815845
2013-12-13,2013-12-12,-0.000180994345015284,0.5669216964349002,1.6869774403999989,303,6049,True,0.007610414162,0.00022216469994059134
2013-12-16,2013-12-13,-0.000384795717740527,0.5671527243270806,1.6868619754500005,303,6050,True,0.007416828201,0.0001227033087591728
2013-12-17,2013-12-16,-0.0005886386019826606,0.567383822822201,1.6867465105,303,6051,True,0.00731442444,-2.973154066504731e-05
2013-12-18,2013-12-17,-0.0007925229977374659,0.5676149919346358,1.6866310455499995,303,6052,True,0.007372669852,0.00017588892451331694
2013-12-19,2013-12-18,-0.0009964489050058312,0.5678462316787655,1.6865155805999992,303,6053,True,0.007181320687,0.00010315711432789393
2013-12-20,2013-12-19,-0.0012004163237872012,0.5680775420689688,1.6864001156499988,303,6054,True,0.007117769962,-4.6430101744457126e-05
2013-12-23,2013-12-20,-0.0012322794400826255,0.5682152686950348,1.6862846507000004,303,6055,True,0.006946181692,7.594331974314361e-05
2013-12-24,2013-12-23,-0.001382499782995735,0.5683876906624121,1.68616918575,303,6056,True,0.006848404058,-8.9191152001576e-06
2013-12-27,2013-12-24,-0.0015295752147173115,0.5686330369333312,1.6860537207999997,303,6057,True,0.006687512635,8.708598719299986e-05
2013-12-30,2013-12-27,-0.0017018377443069814,0.5688645735103346,1.6859382558499991,303,6058,True,0.006575342372,1.8224321698995412e-05
2013-12-31,2013-12-30,-0.001888178441691122,0.5690127967322502,1.6858227908999988,303,6059,True,0.006505556501,0.00014623517190903712
2014-01-02,2013-12-31,-0.002061802342402129,0.569244440779543,1.6857073259500004,303,6060,True,0.006363725847,8.361189916088023e-05
2014-01-03,2014-01-02,-0.0022354615360100256,0.5694761555459333,1.685591861,303,6061,True,0.006436100144,0.00016571617965883533
2014-01-06,2014-01-03,0.00058113272952387,0.5660597800810924,1.6855385241999998,304,6062,True,0.006296010894,9.193381624373551e-05
2014-01-07,2014-01-06,0.00048706783107482776,0.566166368219375,1.6854851873999996,304,6063,True,0.006161994818,0.00011341882200239682
2014-01-08,2014-01-07,0.0003929940749589633,0.5662729714097283,1.6854318505999994,304,6064,True,0.006043892292,7.190892423387767e-05
2014-01-09,2014-01-08,0.00029891146117716483,0.5663795896535685,1.6853785138000001,304,6065,True,0.006177773598,0.0001698634914522358
2014-01-10,2014-01-09,0.00020481998972771143,0.5664862229523148,1.685325177,304,6066,True,0.006267777855,0.00016474795566377796
2014-01-13,2014-01-10,0.00011071966061076965,0.5665928713073844,1.6852718401999998,304,6067,True,0.006168961461,3.173863353378133e-05
2014-01-14,2014-01-13,1.6610473826950134e-05,0.566699534720194,1.6852185033999996,304,6068,True,0.006046176069,8.448500456208013e-05
2014-01-15,2014-01-14,-7.750757062352509e-05,0.5668062131921605,1.6851651665999994,304,6069,True,0.005927205082,9.72289691490557e-05
2014-01-16,2014-01-15,-0.0001716344727390462,0.5669129067246996,1.6851118298000003,304,6070,True,0.005856399257,2.536394737138515e-05
2014-01-17,2014-01-16,-0.0002657702325231659,0.5670196153192326,1.685058493,304,6071,True,0.005752591535,0.00012086854847397966
2014-01-20,2014-01-17,-0.000359914849974996,0.5671263389771755,1.6850051561999997,304,6072,True,0.005651999461,9.042344969954828e-05
2014-01-21,2014-01-20,-0.0004540683250933153,0.5672330776999447,1.6849518193999995,304,6073,True,0.005555447284,0.0001011950357209306
2014-01-22,2014-01-21,-0.0005482306578784568,0.5673398314889575,1.6848984825999993,304,6074,True,0.005466808168,0.0001173822773931207
2014-01-23,2014-01-22,-0.0006424018483285332,0.5674466003456293,1.6848451458000002,304,6075,True,0.005400520354,0.00012663825559807752
2014-01-24,2014-01-23,-0.0007365818964474302,0.5675533842713819,1.684791809,304,6076,True,0.005978226593,0.00020139081893432234
2014-01-27,2014-01-24,-0.004304418022269977,0.5718718737874287,1.6860537207999997,304,6077,True,0.008157261407,0.00029754215716005714
2014-01-28,2014-01-27,-0.003946949053250531,0.5706940138472756,1.6880356027499996,304,6078,True,0.00993001963,0.00030645293852755605
2014-01-29,2014-01-28,-0.004013053159298638,0.5707842142610763,1.6879907884999996,304,6079,True,0.009636260513,7.626481191356366e-05
2014-01-30,2014-01-29,-0.004103257440018254,0.5709036301179846,1.6879459742500003,304,6080,True,0.009455614572,0.00016160582711890786
2014-01-31,2014-01-30,-0.004181751910314415,0.5709792790961772,1.68790116,304,6081,True,0.009170087622,0.00012342585246193083
2014-02-03,2014-01-31,-0.0015850711558859434,0.567761999138793,1.6877856950499996,305,6082,True,0.009022316902,0.0001620289886004305
2014-02-04,2014-02-03,-0.0017589206596290356,0.5679562818070165,1.6876702300999993,305,6083,True,0.009083248097,0.00019117854677365084
2014-02-05,2014-02-04,-0.00194469129478121,0.5681419323495113,1.6875547651499987,305,6084,True,0.00885926888,0.00014208385899103075
2014-02-06,2014-02-05,-0.002118615908824277,0.5683735994740579,1.6874393002000003,305,6085,True,0.008594514448,9.837826842458083e-05
2014-02-07,2014-02-06,-0.002292575933425278,0.5686053374401989,1.68732383525,305,6086,True,0.008456903394,-6.0701799969541375e-05
2014-02-10,2014-02-07,-0.002481954680926621,0.5688041502623908,1.6872083702999996,305,6087,True,0.008212970792,9.038079056763624e-05
2014-02-11,2014-02-10,-0.0026303229058355655,0.5690568645784775,1.6870929053499992,305,6088,True,0.007983060406,7.929332044335699e-05
2014-02-12,2014-02-11,-0.0027994846358536277,0.5692414484011282,1.6869774403999989,305,6089,True,0.007837917171,-2.4598929384404096e-05
2014-02-13,2014-02-12,-0.002950556551810715,0.5694564927460681,1.6868619754500005,305,6090,True,0.007622282245,0.00010952947148530233
2014-02-14,2014-02-13,-0.003112487709018349,0.5696294121650489,1.6867465105,305,6091,True,0.007466962054,0.0001398274934005339
2014-02-17,2014-02-14,-0.003303707947382735,0.5698928433183937,1.6866310455499995,305,6092,True,0.007270089674,0.00010630242523791168
2014-02-18,2014-02-17,-0.0034750362337062964,0.570105014892727,1.6865155805999992,305,6093,True,0.007149218381,-8.548328055113172e-06
2014-02-19,2014-02-18,-0.003658966809053629,0.5703224658736812,1.6864001156499988,305,6094,True,0.007015499088,1.2666096698411848e-05
2014-02-20,2014-02-19,-0.003821388804431941,0.5704890134466069,1.6862846507000004,305,6095,True,0.006841900498,0.00011292014518645864
2014-02-21,2014-02-20,-0.003941032884679799,0.5706921816325992,1.68616918575,305,6096,True,0.006680577248,8.638380972672078e-05
2014-02-24,2014-02-21,-0.0041356443039736734,0.5709538116492658,1.6860537207999997,305,6097,True,0.006532781221,7.191378888066029e-05
2014-02-25,2014-02-24,-0.004351761148772793,0.5711846818234053,1.6859382558499991,305,6098,True,0.00639510691,6.762704598477134e-05
2014-02-26,2014-02-25,-0.004524814572970817,0.5713672076438783,1.6858227908999988,305,6099,True,0.006512735091,0.0001717618690079475
2014-02-27,2014-02-26,-0.0046659883416613705,0.571556665296075,1.6857073259500004,305,6100,True,0.006570470438,0.0001652568649078551
2014-02-28,2014-02-27,-0.004864473684868237,0.5718063197044618,1.685591861,305,6101,True,0.006421962207,9.500863676156695e-05
2014-03-03,2014-02-28,-0.00216918681563146,0.5684486137186084,1.6855385241999998,306,6102,True,0.006280832021,0.00011441259044495111
2014-03-04,2014-03-03,-0.004050715893624802,0.570098065374576,1.6876702300999993,306,6103,True,0.008045463872,0.0002825780433304906
2014-03-05,2014-03-04,-0.004290339257593,0.57035807772088,1.6875547651499987,306,6104,True,0.007964653563,-7.9085321395422e-05
2014-03-06,2014-03-05,-0.004416509685000371,0.5705019728907044,1.6874393002000003,306,6105,True,0.008115636602,0.0001937576479114052
2014-03-07,2014-03-06,-0.004622014066039496,0.5707950302730027,1.68732383525,306,6106,True,0.00788818737,9.161750809806406e-05
2014-03-10,2014-03-07,-0.0047802348835604,0.5709442159779542,1.6872083702999996,306,6107,True,0.00860321916,0.0002401527166962657
2014-03-11,2014-03-10,-0.004931893618200015,0.5711889297154404,1.6870929053499992,306,6108,True,0.008449465844,0.0001524946754340559
2014-03-12,2014-03-11,-0.005111212094888464,0.5713916697035347,1.6869774403999989,306,6109,True,0.00820906242,0.000120169678711958
2014-03-13,2014-03-12,-0.005300272086345769,0.571569682550101,1.6868619754500005,306,6110,True,0.008664497745,0.00022300821927174336
2014-03-14,2014-03-13,-0.005472871258056197,0.5718025848845285,1.6867465105,306,6111,True,0.00914103522,0.0002283872739576795
2014-03-17,2014-03-14,-0.005631910480283564,0.5720574033123416,1.6866310455499995,306,6112,True,0.008981671565,0.00015811053843434696
2014-03-18,2014-03-17,-0.005751204269006388,0.5722039157561905,1.6865155805999992,306,6113,True,0.00872798872,4.361160760994482e-05
2014-03-19,2014-03-18,-0.006009401204152098,0.5724938483783304,1.6864001156499988,306,6114,True,0.00848417523,5.019057993566837e-05
2014-03-20,2014-03-19,-0.006117090088144039,0.5726649168374536,1.6862846507000004,306,6115,True,0.008413166751,0.00016857353212840123
2014-03-21,2014-03-20,-0.006316203365285227,0.5728430076991974,1.68616918575,306,6116,True,0.008340923517,0.0001662572138170005
2014-03-24,2014-03-21,-0.006448911104235714,0.5731008024800699,1.6860537207999997,306,6117,True,0.008103156447,8.791501751223823e-05
2014-03-25,2014-03-24,-0.006656273053174495,0.5732833581001922,1.6859382558499991,306,6118,True,0.008119299052,0.00017693975340569643
2014-03-26,2014-03-25,-0.006784896758949072,0.5734842361856907,1.6858227908999988,306,6119,True,0.007972533285,-3.190806958798258e-05
2014-03-27,2014-03-26,-0.0069542987851892776,0.5736982471275415,1.6857073259500004,306,6120,True,0.007750641411,0.00011273548018372187
2014-03-28,2014-03-27,-0.007178144306212839,0.5739667563133406,1.685591861,306,6121,True,0.007599779823,0.00014250444448824385
2014-03-31,2014-03-28,-0.004496649187335901,0.5706392027706233,1.6855385241999998,307,6122,True,0.007405762346,6.674662868473525e-05
2014-04-01,2014-03-31,-0.00457649904096727,0.5707466528245448,1.6854851873999996,307,6123,True,0.00727278946,0.00014280153473950064
2014-04-02,2014-04-01,-0.004656356391560924,0.5708541180520907,1.6854318505999994,307,6124,True,0.007123039291,2.1087908255197e-05
2014-04-03,2014-04-02,-0.00472727731131984,0.5709011091615657,1.6853785138000001,307,6125,True,0.006945361862,0.00010256617664563964
2014-04-04,2014-04-03,-0.00478123643431423,0.5709975833183156,1.685325177,307,6126,True,0.006799691159,0.00013021101559597577
2014-04-07,2014-04-04,-0.004860538134296535,0.5711050806125145,1.6852718401999998,307,6127,True,0.006666367462,3.4761640055015405e-05
2014-04-08,2014-04-07,-0.00267361433740342,0.5682267533120723,1.6870929053499992,307,6128,True,0.007523496548,0.00023680823781927623
2014-04-09,2014-04-08,-0.0028429901981530123,0.5684114239511335,1.6869774403999989,307,6129,True,0.007534180936,0.00016825601937393506
2014-04-10,2014-04-09,-0.0029940162430841357,0.568626510874845,1.6868619754500005,307,6130,True,0.007358644762,3.678840278150254e-05
2014-04-11,2014-04-10,-0.0031751378707163417,0.5688307991864056,1.6867465105,307,6131,True,0.007168828109,0.00010253838732476352
2014-04-14,2014-04-11,-0.0014239865215244006,0.5664328687917783,1.6883044882499998,307,6132,True,0.008160156147,0.000250701801205198
2014-04-15,2014-04-14,-0.00149231069400785,0.5665227012410383,1.6882596739999998,307,6133,True,0.007934717942,7.546981478157976e-05
2014-04-16,2014-04-15,-0.0015322472697714938,0.5666263814050554,1.6882148597499995,307,6134,True,0.008034775605,0.00018599446473991244
2014-04-17,2014-04-16,-0.0015993390370569543,0.5667162374188177,1.6881700455000002,307,6135,True,0.007830834474,4.0156811752956045e-05
2014-04-22,2014-04-17,-0.0016849252913484186,0.5668199455381252,1.68812523125,307,6136,True,0.007636721588,4.318517237097627e-05
2014-04-23,2014-04-22,-0.0017332485677478732,0.5668345504712631,1.6880804169999999,307,6137,True,0.007470541588,1.757587545714594e-05
2014-04-24,2014-04-23,-0.0018019664951002632,0.5669486589722338,1.6880356027499996,307,6138,True,0.0072847784,0.0001254175262875726
2014-04-25,2014-04-24,-0.001881754610864799,0.5669926803240676,1.6879907884999996,307,6139,True,0.007107611248,6.566642866726383e-05
