index,q,u,xi,beta,n_exceed,n_total,converged,ks_p,ad_stat,ad_reject_5pct
SPX,0.9,1.2573307374,0.08382509752018705,0.6157166297160324,923,9225,True,0.481917591833266,0.3332998663338458,False
SPX,0.925,1.4480590892000007,0.11117220274885467,0.5995041656788773,692,9225,True,0.48003344114993196,0.33535147695056367,False
SPX,0.95,1.7122143289999996,0.15471536036099454,0.5800344870395361,462,9225,True,0.5053381420611591,0.5145045410757234,False
SPX,0.96,1.849265227199997,0.16315392403189394,0.5910442992265547,369,9225,True,0.4075034944263357,0.4820057758996654,False
SPX,0.97,2.034508219160001,0.1881813681984415,0.5918034755949603,277,9225,True,0.3257435242217275,0.5602872909462349,False
SPX,0.975,2.151901653399999,0.20986244192852588,0.5901726730788419,231,9225,True,0.2816499024696357,0.8733418073999815,True
SPX,0.98,2.3045885567600006,0.29367128120859154,0.5447014030143251,185,9225,True,0.3273543198388139,0.4113219531697041,False
SPX,0.99,2.702720550160003,0.09552843181597978,0.8579532115464188,93,9225,True,0.7904916776896562,0.4618945912956747,False
NDX,0.9,1.2881968738000005,0.03484676586276715,0.5970663651330201,923,9225,True,0.8976573764264536,0.236929644860993,False
NDX,0.925,1.4710273252000001,0.05536495817885251,0.5796008292474171,692,9225,True,0.6948927031329374,0.4066318799993951,False
NDX,0.95,1.709899530799999,0.05700812071283389,0.5900841817742739,462,9225,True,0.4921006365175643,0.5110395759889457,False
NDX,0.96,1.8636229941599982,0.10898065773587776,0.5437162048539075,369,9225,True,0.9034763127565214,0.44642957394137284,False
NDX,0.97,2.0293284689599997,0.1342182787345816,0.5378487171473005,277,9225,True,0.6298842668915339,0.5390921944044749,False
NDX,0.975,2.111542051199998,0.08845354441215186,0.5965346962384406,231,9225,True,0.6542195386518839,0.5077547446075243,False
NDX,0.98,2.237646674960003,0.06909766792764449,0.6296453782509298,185,9225,True,0.42610083365282003,0.6538969470862526,False
NDX,0.99,2.7289269049600025,0.32891026988215455,0.44832355186317474,93,9225,True,0.7399905033783684,0.33281594267822356,False
UKX,0.9,1.2422613890000014,0.00994729689662325,0.6173503226959178,926,9253,True,0.37553439678068423,0.4422253500164288,False
UKX,0.925,1.4338343377,0.03441058175981948,0.5892242710592761,694,9253,True,0.5074855896465245,0.22032210245993156,False
UKX,0.95,1.6792334405999993,0.06066618625984533,0.5718467988615713,463,9253,True,0.9526890655204869,0.17886039825754096,False
UKX,0.96,1.8153254846400002,0.0792064344171878,0.5596626705059167,371,9253,True,0.959257138657799,0.23136634366369435,False
UKX,0.97,1.9761215166800012,0.07538443225654937,0.5771855629848055,278,9253,True,0.8941512983310246,0.2931831385499777,False
UKX,0.975,2.0958780347999983,0.11424986292085332,0.5464969236634714,232,9253,True,0.7067539771565231,0.23247019921069523,False
UKX,0.98,2.2233484368,0.12899263552367501,0.5467154143384176,186,9253,True,0.4238173673646072,0.4004739077117847,False
UKX,0.99,2.625820561959998,0.05115167080475938,0.6566156470968769,93,9253,True,0.9959795936417328,0.31769209692733114,False
DAX,0.9,1.2716174090000016,0.05664783407230954,0.5909673233225801,927,9268,True,0.08894403111606353,0.8126033767966874,True
DAX,0.925,1.4639833257500001,0.0841531122580674,0.5595041264761489,696,9268,True,0.09301121938903034,0.5910316925941288,False
DAX,0.95,1.7278391979499998,0.15421812716064576,0.4980572686229219,464,9268,True,0.8064276412234805,0.28961905788139575,False
DAX,0.96,1.8495318814399992,0.16885398500809434,0.4996655281583686,371,9268,True,0.9753196163040931,0.3537518047194226,False
DAX,0.97,1.99877298958,0.17651177880415683,0.516444928863408,279,9268,True,0.9450205397922762,0.3575667060658816,False
DAX,0.975,2.100307944049995,0.18870762195451085,0.5211053002078538,232,9268,True,0.9004886309340643,0.37138963978776474,False
DAX,0.98,2.21684259672,0.19434796413232894,0.5392073436383068,186,9268,True,0.7757334199759067,0.46329890355181647,False
DAX,0.99,2.6534504876599994,0.24930809868948806,0.5434443697097839,93,9268,True,0.32668617076384554,0.6909719031416159,False
NKY,0.9,1.2537244244,0.010192801955842587,0.5974698941339425,899,8988,True,0.3311062915573203,0.5092126987794927,False
NKY,0.925,1.4418737025750004,0.04073089019456021,0.560945240330271,675,8988,True,0.480039677362067,0.8703654573562289,True
NKY,0.95,1.6698006704,0.05016365735434307,0.5622937718467361,450,8988,True,0.6397244783262463,0.7463412856921536,False
NKY,0.96,1.80254294756,0.05886094207461944,0.5570854159217011,360,8988,True,0.49043294665793535,0.7777143180869643,False
NKY,0.97,1.9847007985599998,0.09456877769223454,0.5237887727176749,270,8988,True,0.3830435964234036,0.521010420811649,False
NKY,0.975,2.0906741555499977,0.11304721768576657,0.5123507189906442,225,8988,True,0.2949009964486208,0.5500043114597588,False
NKY,0.98,2.23359829852,0.18471276791160296,0.4571389902233847,180,8988,True,0.486325667931626,0.3928368078619542,False
NKY,0.99,2.559617373779991,0.22897176790096568,0.49671760068708126,90,8988,True,0.9865856432423815,0.16155740729900003,False
HSI,0.9,1.2428546846,0.10042961254591982,0.5384823306557824,904,9039,True,0.3756473087610823,0.33505906723337375,False
HSI,0.925,1.4144102963499998,0.1292817557647064,0.5213036098913313,678,9039,True,0.49839566354965426,0.6250862613072741,False
HSI,0.95,1.6387866377000004,0.15896061851420656,0.5199102612229723,452,9039,True,0.5967241143399321,0.35241211284619567,False
HSI,0.96,1.7743914666399987,0.20152753737692247,0.494829552446839,362,9039,True,0.6336521927488423,0.42171846889755216,False
HSI,0.97,1.9148733589400009,0.1986283229413266,0.5292905707671687,272,9039,True,0.38936791168770624,0.6748332762356313,False
HSI,0.975,2.014231043999996,0.1989101658882903,0.5491937116388366,226,9039,True,0.27093513117479107,0.5880608220725208,False
HSI,0.98,2.1830687157599993,0.30803397391687226,0.46424201802443776,181,9039,True,0.38738022723029975,0.3428064748641191,False
HSI,0.99,2.551143155700005,0.44229585751144485,0.47119122346332104,91,9039,True,0.9393043373048611,0.3738118293103554,False
