index,model,confidence,n_obs,n_breach,expected,rate_pct,target_pct,kupiec_p,chris_ind_p,chris_cc_p,dq_p,n11,pass_kupiec,pass_indep,pass_cc,pass_dq
UKX,GJR-skewt,0.95,3258,145,162.9,4.451,5.0,0.1429,0.0001,0.0001,0.0005,18,True,False,False,False
UKX,RealGARCH,0.99,3258,55,32.6,1.688,1.0,0.0003,0.0152,0.0001,0.0,4,False,False,False,False
UKX,RealGARCH,0.975,3258,110,81.5,3.376,2.5,0.0023,0.0013,0.0001,0.0,11,False,False,False,False
UKX,RealGARCH,0.95,3258,188,162.9,5.77,5.0,0.0487,0.0,0.0,0.0,28,False,False,False,False
UKX,QR-Full,0.99,2718,41,27.2,1.508,1.0,0.0132,0.6508,0.0419,0.1005,1,False,True,False,True
UKX,QR-Full,0.975,2718,75,68.0,2.759,2.5,0.3941,0.2185,0.3263,0.1574,4,True,True,True,True
UKX,QR-Full,0.95,2718,137,135.9,5.04,5.0,0.923,0.0276,0.0881,0.0399,13,True,False,True,False
UKX,QR-Range,0.99,3179,41,31.8,1.29,1.0,0.1161,0.3005,0.1702,0.0081,0,True,True,True,False
UKX,QR-Range,0.975,3179,84,79.5,2.642,2.5,0.6105,0.2676,0.4751,0.0097,4,True,True,True,False
UKX,QR-Range,0.95,3179,169,159.0,5.316,5.0,0.418,0.0046,0.0129,0.0001,18,True,False,False,False
DAX,GARCH-EVT,0.99,3267,41,32.7,1.255,1.0,0.1589,0.5433,0.3081,0.1048,1,True,True,True,True
DAX,GARCH-EVT,0.975,3267,88,81.7,2.694,2.5,0.4838,0.32,0.4773,0.2374,4,True,True,True,True
DAX,GARCH-EVT,0.95,3267,154,163.4,4.714,5.0,0.4487,0.0888,0.1764,0.048,12,True,True,True,False
DAX,GJR-skewt,0.99,3267,41,32.7,1.255,1.0,0.1589,0.5433,0.3081,0.105,1,True,True,True,True
DAX,GJR-skewt,0.975,3267,87,81.7,2.663,2.5,0.5548,0.301,0.492,0.2,4,True,True,True,True
DAX,GJR-skewt,0.95,3267,165,163.4,5.051,5.0,0.8948,0.0271,0.0861,0.0147,15,True,False,True,False
DAX,RealGARCH,0.99,2765,51,27.7,1.844,1.0,0.0001,0.3314,0.0002,0.0001,2,False,True,False,False
DAX,RealGARCH,0.975,2765,117,69.1,4.231,2.5,0.0,0.0353,0.0,0.0,10,False,False,False,False
DAX,RealGARCH,0.95,2765,198,138.2,7.161,5.0,0.0,0.0191,0.0,0.0,23,False,False,False,False
DAX,QR-Full,0.99,2474,27,24.7,1.091,1.0,0.6527,0.4401,0.6708,0.0,0,True,True,True,False
DAX,QR-Full,0.975,2474,58,61.9,2.344,2.5,0.6164,0.2112,0.4037,0.0216,3,True,True,True,False
DAX,QR-Full,0.95,2474,125,123.7,5.053,5.0,0.9047,0.8931,0.9839,0.0827,6,True,True,True,True
DAX,QR-Range,0.99,3267,37,32.7,1.133,1.0,0.4559,0.3571,0.4956,0.1709,0,True,True,True,True
DAX,QR-Range,0.975,3267,87,81.7,2.663,2.5,0.5548,0.8265,0.82,0.014,2,True,True,True,False
DAX,QR-Range,0.95,3267,161,163.4,4.928,5.0,0.85,0.9811,0.982,0.0137,8,True,True,True,False
NKY,GARCH-EVT,0.99,3150,38,31.5,1.206,1.0,0.2596,0.0865,0.1219,0.1197,2,True,True,True,True
NKY,GARCH-EVT,0.975,3150,90,78.8,2.857,2.5,0.2092,0.3948,0.3165,0.6194,4,True,True,True,True
NKY,GARCH-EVT,0.95,3150,149,157.5,4.73,5.0,0.4833,0.4463,0.5853,0.1696,9,True,True,True,True
NKY,GJR-skewt,0.99,3150,38,31.5,1.206,1.0,0.2596,0.0865,0.1219,0.12,2,True,True,True,True
NKY,GJR-skewt,0.975,3150,90,78.8,2.857,2.5,0.2092,0.3948,0.3165,0.6229,4,True,True,True,True
NKY,GJR-skewt,0.95,3150,161,157.5,5.111,5.0,0.7755,0.5157,0.7773,0.0957,10,True,True,True,True
NKY,RealGARCH,0.99,3057,58,30.6,1.897,1.0,0.0,0.4315,0.0,0.0,2,False,True,False,False
NKY,RealGARCH,0.975,3057,129,76.4,4.22,2.5,0.0,0.2827,0.0,0.0,8,False,True,False,False
NKY,RealGARCH,0.95,3057,226,152.8,7.393,5.0,0.0,0.0003,0.0,0.0,32,False,False,False,False
NKY,QR-Full,0.99,1814,26,18.1,1.433,1.0,0.0816,0.3865,0.1508,0.4097,1,True,True,True,True
NKY,QR-Full,0.975,1814,51,45.4,2.811,2.5,0.4047,0.6937,0.6539,0.7521,1,True,True,True,True
NKY,QR-Full,0.95,1814,96,90.7,5.292,5.0,0.5715,0.0147,0.0433,0.0393,11,True,False,False,False
NKY,QR-Range,0.99,3037,36,30.4,1.185,1.0,0.3185,0.4483,0.4561,0.4207,1,True,True,True,True
NKY,QR-Range,0.975,3037,88,75.9,2.898,2.5,0.1709,0.763,0.3741,0.1803,3,True,True,True,True
NKY,QR-Range,0.95,3037,197,151.8,6.487,5.0,0.0003,0.219,0.0007,0.0,17,False,True,False,False
HSI,GARCH-EVT,0.99,3172,22,31.7,0.694,1.0,0.0664,0.5793,0.159,0.7185,0,True,True,True,True
HSI,GARCH-EVT,0.975,3172,73,79.3,2.301,2.5,0.4678,0.3461,0.4929,0.6102,3,True,True,True,True
HSI,GARCH-EVT,0.95,3172,149,158.6,4.697,5.0,0.4297,0.6839,0.6738,0.2155,8,True,True,True,True
HSI,GJR-skewt,0.99,3172,24,31.7,0.757,1.0,0.15,0.5452,0.2955,0.8556,0,True,True,True,True
HSI,GJR-skewt,0.975,3172,73,79.3,2.301,2.5,0.4678,0.3461,0.4929,0.604,3,True,True,True,True
HSI,GJR-skewt,0.95,3172,163,158.6,5.139,5.0,0.7212,0.8081,0.911,0.2448,9,True,True,True,True
HSI,RealGARCH,0.99,3169,36,31.7,1.136,1.0,0.4514,0.0688,0.1438,0.0095,2,True,True,True,False
HSI,RealGARCH,0.975,3169,90,79.2,2.84,2.5,0.23,0.1615,0.1826,0.1437,5,True,True,True,True
HSI,RealGARCH,0.95,3169,195,158.5,6.153,5.0,0.004,0.7548,0.0151,0.0872,11,False,True,False,True
HSI,QR-Full,0.99,2615,46,26.2,1.759,1.0,0.0004,0.1992,0.0009,0.0002,0,False,True,False,False
HSI,QR-Full,0.975,2615,89,65.4,3.403,2.5,0.005,0.5152,0.0157,0.0,2,False,True,False,False
HSI,QR-Full,0.95,2615,174,130.8,6.654,5.0,0.0002,0.1229,0.0003,0.0002,7,False,True,False,False
HSI,QR-Range,0.99,2940,50,29.4,1.701,1.0,0.0005,0.8726,0.0024,0.0046,1,False,True,False,False
HSI,QR-Range,0.975,2940,126,73.5,4.286,2.5,0.0,0.5104,0.0,0.0,4,False,True,False,False
HSI,QR-Range,0.95,2940,217,147.0,7.381,5.0,0.0,0.2592,0.0,0.0,12,False,True,False,False
