Date,Symbol,Open,High,Low,Close,Volume,OHLC_Consistent,LogReturn
1993-01-29,SPY,43.96875,43.96875,43.75,43.9375,1003200,True,
1993-02-01,SPY,43.96875,44.25,43.96875,44.25,480500,True,0.0070872
1993-02-02,SPY,44.21875,44.375,44.125,44.34375,201300,True,0.0021164
1993-02-03,SPY,44.40625,44.84375,44.375,44.8125,529400,True,0.01051534
1993-02-04,SPY,44.96875,45.09375,44.46875,45.0,531500,True,0.00417537
1993-02-05,SPY,44.96875,45.0625,44.71875,44.96875,492100,True,-0.00069469
1993-02-08,SPY,44.96875,45.125,44.90625,44.96875,596100,True,0.0
1993-02-09,SPY,44.8125,44.8125,44.5625,44.65625,122100,True,-0.00697353
1993-02-10,SPY,44.65625,44.75,44.53125,44.71875,379600,True,0.0013986
1993-02-11,SPY,44.78125,45.125,44.78125,44.9375,19500,True,0.00487976
1993-02-12,SPY,44.875,44.875,44.59375,44.59375,42500,True,-0.00767892
1993-02-16,SPY,44.46875,44.46875,43.40625,43.46875,374800,True,-0.02555143
1993-02-17,SPY,43.46875,43.53125,43.28125,43.4375,210900,True,-0.00071917
1993-02-18,SPY,43.9375,43.9375,42.8125,43.40625,378100,True,-0.00071968
1993-02-19,SPY,43.40625,43.5625,43.34375,43.5625,34900,True,0.00359325
1993-02-22,SPY,43.6875,43.78125,43.5625,43.71875,513600,True,0.00358038
1993-02-23,SPY,43.84375,43.875,43.46875,43.6875,373700,True,-0.00071505
1993-02-24,SPY,43.71875,44.25,43.71875,44.25,26300,True,0.01279335
1993-02-25,SPY,44.21875,44.375,44.125,44.34375,44500,True,0.0021164
1993-02-26,SPY,44.4375,44.4375,44.1875,44.40625,66200,True,0.00140845
1993-03-01,SPY,44.5625,44.5625,44.21875,44.28125,66500,True,-0.00281889
1993-03-02,SPY,44.3125,44.9375,44.25,44.9375,182400,True,0.0147113
1993-03-03,SPY,45.0,45.15625,44.9375,45.125,280100,True,0.00416378
1993-03-04,SPY,45.1875,45.1875,44.875,44.875,89500,True,-0.00555557
1993-03-05,SPY,44.9375,45.125,44.71875,44.75,40000,True,-0.0027894
1993-03-08,SPY,44.84375,45.75,44.84375,45.75,50800,True,0.02210035
1993-03-09,SPY,45.65625,45.6875,45.5,45.59375,169300,True,-0.00342115
1993-03-10,SPY,45.59375,45.6875,45.40625,45.6875,194400,True,0.00205409
1993-03-11,SPY,45.71875,45.84375,45.5,45.5625,70900,True,-0.00273973
1993-03-12,SPY,45.1875,45.21875,44.8125,45.09375,643600,True,-0.01034135
1993-03-15,SPY,45.0625,45.3125,45.0625,45.3125,310800,True,0.00483928
1993-03-16,SPY,45.3125,45.4375,45.3125,45.3125,30800,True,0.0
1993-03-17,SPY,45.25,45.25,44.96875,45.03125,21800,True,-0.00622624
1993-03-18,SPY,45.21875,45.5,45.21875,45.3125,59300,True,0.00622624
1993-03-19,SPY,45.28125,45.28125,45.03125,45.03125,66900,True,-0.00622624
1993-03-22,SPY,44.59375,44.875,44.5625,44.78125,183400,True,-0.00556717
1993-03-23,SPY,44.90625,44.9375,44.8125,44.875,55200,True,0.00209132
1993-03-24,SPY,44.8125,45.0625,44.59375,44.875,37200,True,0.0
1993-03-25,SPY,44.90625,45.25,44.84375,45.15625,110100,True,0.00624785
1993-03-26,SPY,45.125,45.15625,44.875,44.90625,101500,True,-0.00555171
1993-03-29,SPY,44.9375,45.3125,44.9375,45.09375,87100,True,0.00416667
1993-03-30,SPY,45.15625,45.21875,45.09375,45.21875,56000,True,0.00276817
1993-03-31,SPY,45.34375,45.46875,45.1875,45.1875,111600,True,-0.00069132
1993-04-01,SPY,45.25,45.25,44.9375,45.03125,129500,True,-0.00346381
1993-04-02,SPY,44.65625,44.65625,44.09375,44.09375,59400,True,-0.02103864
1993-04-05,SPY,44.4375,44.4375,44.1875,44.3125,172200,True,0.00494876
1993-04-06,SPY,44.40625,44.40625,44.0625,44.1875,129700,True,-0.00282486
1993-04-07,SPY,44.25,44.34375,44.15625,44.34375,28000,True,0.00352983
1993-04-08,SPY,44.53125,44.53125,44.09375,44.28125,180800,True,-0.00141044
1993-04-12,SPY,44.71875,44.9375,44.65625,44.90625,348500,True,0.01401565
1993-04-13,SPY,44.875,45.15625,44.84375,45.0,146100,True,0.00208551
1993-04-14,SPY,45.03125,45.0625,44.90625,44.9375,119600,True,-0.00138985
1993-04-15,SPY,44.90625,45.03125,44.75,44.9375,148600,True,0.0
1993-04-16,SPY,44.96875,45.03125,44.875,44.9375,47900,True,0.0
1993-04-19,SPY,44.9375,45.0625,44.71875,44.75,157000,True,-0.00418119
1993-04-20,SPY,44.6875,44.75,44.25,44.53125,279500,True,-0.00490025
1993-04-21,SPY,44.625,44.625,44.375,44.5,67900,True,-0.000702
1993-04-22,SPY,44.3125,44.6875,43.9375,43.9375,97700,True,-0.01272102
1993-04-23,SPY,43.84375,43.96875,43.6875,43.75,106000,True,-0.00427656
1993-04-26,SPY,43.78125,43.9375,43.28125,43.40625,62600,True,-0.00788817
1993-04-27,SPY,43.34375,43.875,43.34375,43.875,156800,True,0.01074124
1993-04-28,SPY,43.8125,43.90625,43.71875,43.78125,85900,True,-0.00213904
1993-04-29,SPY,43.875,43.96875,43.625,43.96875,85000,True,0.00427351
1993-04-30,SPY,44.125,44.28125,44.03125,44.03125,88500,True,0.00142045
1993-05-03,SPY,44.09375,44.3125,43.90625,44.3125,80500,True,0.0063672
1993-05-04,SPY,44.40625,44.625,44.34375,44.46875,149100,True,0.00351989
1993-05-05,SPY,44.46875,44.75,44.46875,44.59375,109000,True,0.00280702
1993-05-06,SPY,44.53125,44.5625,44.40625,44.4375,54700,True,-0.00351001
1993-05-07,SPY,44.46875,44.46875,44.28125,44.34375,68000,True,-0.00211193
1993-05-10,SPY,44.40625,44.6875,44.40625,44.4375,113900,True,0.00211193
1993-05-11,SPY,44.4375,44.625,44.3125,44.625,42600,True,0.00421053
1993-05-12,SPY,44.4375,44.59375,44.4375,44.5625,31000,True,-0.00140154
1993-05-13,SPY,44.375,44.375,44.0,44.03125,129100,True,-0.01199309
1993-05-14,SPY,44.03125,44.15625,43.96875,44.0,63500,True,-0.00070998
1993-05-17,SPY,44.125,44.15625,43.9375,44.15625,34000,True,0.00354485
1993-05-18,SPY,44.1875,44.21875,43.96875,44.125,105200,True,-0.00070796
1993-05-19,SPY,44.125,45.03125,43.84375,45.03125,50200,True,0.02033018
1993-05-20,SPY,45.03125,45.15625,44.9375,45.15625,98200,True,0.002772
1993-05-21,SPY,45.1875,45.25,44.71875,44.75,221400,True,-0.00903725
1993-05-24,SPY,44.84375,45.09375,44.84375,44.9375,30500,True,0.00418119
1993-05-25,SPY,45.125,45.125,45.03125,45.03125,191800,True,0.00208406
1993-05-26,SPY,45.15625,45.625,45.125,45.59375,102400,True,0.01241395
1993-05-27,SPY,45.65625,45.65625,45.375,45.4375,53800,True,-0.00343289
1993-05-28,SPY,45.40625,45.40625,45.0,45.21875,79100,True,-0.00482593
1993-06-01,SPY,45.375,45.8125,45.3125,45.65625,28300,True,0.00962869
1993-06-02,SPY,45.53125,45.75,45.34375,45.59375,20300,True,-0.00136986
1993-06-03,SPY,45.5,45.5,45.34375,45.4375,21600,True,-0.00343289
1993-06-04,SPY,45.3125,45.3125,45.09375,45.28125,32000,True,-0.00344472
1993-06-07,SPY,45.375,45.375,45.125,45.125,121400,True,-0.00345662
1993-06-08,SPY,45.0,45.0,44.71875,44.71875,104500,True,-0.00904354
1993-06-09,SPY,44.875,45.0625,44.8125,44.875,43300,True,0.00348797
1993-06-10,SPY,44.84375,44.9375,44.75,44.90625,17900,True,0.00069614
1993-06-11,SPY,45.0625,45.15625,44.90625,45.09375,647400,True,0.00416667
1993-06-14,SPY,45.15625,45.1875,45.03125,45.03125,64200,True,-0.00138696
1993-06-15,SPY,45.09375,45.125,44.9375,44.9375,142400,True,-0.00208406
1993-06-16,SPY,44.9375,45.03125,44.8125,45.03125,330900,True,0.00208406
1993-06-17,SPY,45.125,45.1875,45.03125,45.1875,37400,True,0.00346381
1993-06-18,SPY,44.84375,44.84375,44.5,44.5,58500,True,-0.01533131
1993-06-21,SPY,44.625,44.625,44.53125,44.59375,29300,True,0.00210453
1993-06-22,SPY,44.65625,44.65625,44.5625,44.625,137500,True,0.00070053
1993-06-23,SPY,44.625,44.625,44.21875,44.21875,227600,True,-0.00914533
1993-06-24,SPY,44.34375,44.8125,44.34375,44.8125,243700,True,0.01333821
1993-06-25,SPY,44.78125,44.90625,44.75,44.78125,44800,True,-0.00069759
1993-06-28,SPY,45.0,45.28125,44.9375,45.28125,439900,True,0.01110351
1993-06-29,SPY,45.21875,45.21875,45.0,45.0625,207500,True,-0.00484262
