Date,Symbol,Open,High,Low,Close
1990-01-02,SKEW,,,,126.0900
1990-01-03,SKEW,,,,123.3400
1990-01-04,SKEW,,,,122.6200
1990-01-05,SKEW,,,,121.2700
1990-01-08,SKEW,,,,124.1200
1990-01-09,SKEW,,,,119.8200
1990-01-10,SKEW,,,,120.8200
1990-01-11,SKEW,,,,107.4800
1990-01-12,SKEW,,,,116.7800
1990-01-15,SKEW,,,,116.1600
1990-01-16,SKEW,,,,120.6200
1990-01-17,SKEW,,,,123.0300
1990-01-18,SKEW,,,,131.1400
1990-01-19,SKEW,,,,129.3100
1990-01-22,SKEW,,,,118.9500
1990-01-23,SKEW,,,,117.9400
1990-01-24,SKEW,,,,128.7500
1990-01-25,SKEW,,,,124.3300
1990-01-26,SKEW,,,,122.7600
1990-01-29,SKEW,,,,124.6000
1990-01-30,SKEW,,,,120.9100
1990-01-31,SKEW,,,,128.2200
1990-02-01,SKEW,,,,129.5300
1990-02-02,SKEW,,,,132.5300
1990-02-05,SKEW,,,,121.2200
1990-02-06,SKEW,,,,120.3000
1990-02-07,SKEW,,,,123.3500
1990-02-08,SKEW,,,,124.8700
1990-02-09,SKEW,,,,126.0600
1990-02-12,SKEW,,,,126.9900
1990-02-13,SKEW,,,,133.0600
1990-02-14,SKEW,,,,131.5500
1990-02-15,SKEW,,,,139.0700
1990-02-16,SKEW,,,,136.6100
1990-02-20,SKEW,,,,126.4700
1990-02-21,SKEW,,,,129.1700
1990-02-22,SKEW,,,,124.8000
1990-02-23,SKEW,,,,125.8200
1990-02-26,SKEW,,,,130.6900
1990-02-27,SKEW,,,,131.4500
1990-02-28,SKEW,,,,123.1000
1990-03-01,SKEW,,,,123.9600
1990-03-02,SKEW,,,,126.4400
1990-03-05,SKEW,,,,124.2400
1990-03-06,SKEW,,,,124.8600
1990-03-07,SKEW,,,,121.0800
1990-03-08,SKEW,,,,124.4600
1990-03-09,SKEW,,,,125.6000
1990-03-12,SKEW,,,,129.6900
1990-03-13,SKEW,,,,128.0700
1990-03-14,SKEW,,,,131.8200
1990-03-15,SKEW,,,,133.0200
1990-03-16,SKEW,,,,136.7300
1990-03-19,SKEW,,,,138.6900
1990-03-20,SKEW,,,,134.2000
1990-03-21,SKEW,,,,132.5800
1990-03-22,SKEW,,,,129.8000
1990-03-23,SKEW,,,,130.7600
1990-03-26,SKEW,,,,129.9000
1990-03-27,SKEW,,,,135.3300
1990-03-28,SKEW,,,,133.5100
1990-03-29,SKEW,,,,131.2000
1990-03-30,SKEW,,,,111.3300
1990-04-02,SKEW,,,,126.4600
1990-04-03,SKEW,,,,117.6300
1990-04-04,SKEW,,,,114.1300
1990-04-05,SKEW,,,,114.4200
1990-04-06,SKEW,,,,114.9100
1990-04-09,SKEW,,,,117.6000
1990-04-10,SKEW,,,,119.0900
1990-04-11,SKEW,,,,108.8700
1990-04-12,SKEW,,,,121.5200
1990-04-16,SKEW,,,,126.0500
1990-04-17,SKEW,,,,131.2400
1990-04-18,SKEW,,,,122.7400
1990-04-19,SKEW,,,,120.7700
1990-04-20,SKEW,,,,120.8800
1990-04-23,SKEW,,,,120.0300
1990-04-24,SKEW,,,,124.5600
1990-04-25,SKEW,,,,127.0300
1990-04-26,SKEW,,,,124.5100
1990-04-27,SKEW,,,,118.8400
1990-04-30,SKEW,,,,110.4900
1990-05-01,SKEW,,,,111.9900
1990-05-02,SKEW,,,,128.4900
1990-05-03,SKEW,,,,114.2700
1990-05-04,SKEW,,,,116.3500
1990-05-07,SKEW,,,,117.2200
1990-05-08,SKEW,,,,117.8300
1990-05-09,SKEW,,,,117.2700
1990-05-10,SKEW,,,,119.5000
1990-05-11,SKEW,,,,119.5100
1990-05-14,SKEW,,,,123.1200
1990-05-15,SKEW,,,,125.1000
1990-05-16,SKEW,,,,125.7000
1990-05-17,SKEW,,,,121.9500
1990-05-18,SKEW,,,,124.6800
1990-05-21,SKEW,,,,127.3500
1990-05-22,SKEW,,,,124.8800
1990-05-23,SKEW,,,,118.8000
1990-05-24,SKEW,,,,117.3000
1990-05-25,SKEW,,,,111.9300
1990-05-29,SKEW,,,,122.1800
1990-05-30,SKEW,,,,119.8800
1990-05-31,SKEW,,,,120.2100
1990-06-01,SKEW,,,,119.3300
1990-06-04,SKEW,,,,122.7800
1990-06-05,SKEW,,,,121.2200
1990-06-06,SKEW,,,,121.4500
1990-06-07,SKEW,,,,123.9900
1990-06-08,SKEW,,,,122.1300
1990-06-11,SKEW,,,,132.1400
1990-06-12,SKEW,,,,132.6100
1990-06-13,SKEW,,,,131.5100
1990-06-14,SKEW,,,,132.4500
1990-06-15,SKEW,,,,138.3100
1990-06-18,SKEW,,,,133.3100
1990-06-19,SKEW,,,,136.2100
1990-06-20,SKEW,,,,139.1200
1990-06-21,SKEW,,,,142.5700
1990-06-22,SKEW,,,,139.6200
1990-06-25,SKEW,,,,106.8000
1990-06-26,SKEW,,,,104.6500
1990-06-27,SKEW,,,,106.5400
1990-06-28,SKEW,,,,107.4200
1990-06-29,SKEW,,,,107.3100
1990-07-02,SKEW,,,,108.1600
1990-07-03,SKEW,,,,107.6200
1990-07-05,SKEW,,,,105.0800
1990-07-06,SKEW,,,,107.2700
1990-07-09,SKEW,,,,106.5000
1990-07-10,SKEW,,,,105.1900
1990-07-11,SKEW,,,,107.8400
1990-07-12,SKEW,,,,109.7100
1990-07-13,SKEW,,,,109.3300
1990-07-16,SKEW,,,,108.6500
1990-07-17,SKEW,,,,107.6500
1990-07-18,SKEW,,,,133.7500
1990-07-19,SKEW,,,,137.9400
1990-07-20,SKEW,,,,109.7100
1990-07-23,SKEW,,,,127.1300
1990-07-24,SKEW,,,,127.6100
1990-07-25,SKEW,,,,130.8500
1990-07-26,SKEW,,,,131.0000
1990-07-27,SKEW,,,,127.6200
1990-07-30,SKEW,,,,132.4400
1990-07-31,SKEW,,,,132.0700
1990-08-01,SKEW,,,,131.0100
1990-08-02,SKEW,,,,110.0800
1990-08-03,SKEW,,,,119.6000
1990-08-06,SKEW,,,,114.6500
1990-08-07,SKEW,,,,119.0900
1990-08-08,SKEW,,,,125.1900
1990-08-09,SKEW,,,,128.9000
1990-08-10,SKEW,,,,123.0100
1990-08-13,SKEW,,,,119.3400
1990-08-14,SKEW,,,,120.5200
1990-08-15,SKEW,,,,120.0400
1990-08-16,SKEW,,,,117.1800
1990-08-17,SKEW,,,,117.3600
1990-08-20,SKEW,,,,118.3600
1990-08-21,SKEW,,,,114.5200
1990-08-22,SKEW,,,,112.4900
1990-08-23,SKEW,,,,110.9200
1990-08-24,SKEW,,,,113.4200
1990-08-27,SKEW,,,,117.6900
1990-08-28,SKEW,,,,117.9000
1990-08-29,SKEW,,,,118.6300
1990-08-30,SKEW,,,,116.7400
1990-08-31,SKEW,,,,119.4800
1990-09-04,SKEW,,,,119.9200
1990-09-05,SKEW,,,,119.8800
1990-09-06,SKEW,,,,116.9800
1990-09-07,SKEW,,,,117.8200
1990-09-10,SKEW,,,,118.7700
