Code,Days,Columns,First,Last,Median_NBars_5min,Median_JumpShare,Median_RSV_Ratio,Median_RV_RelSE,Median_Noise_1v5,Rows_Only_New,Rows_Only_Old,Max_Rel_Diff_RV5
SPX,3755,39,2011-09-19,2026-08-21,77.0,0.08861260715515971,0.5020307151252279,0.18565610820444667,1.0763416245184445,0,0,0.0001285814313323586
NDX,3733,39,2011-09-19,2026-08-21,77.0,0.078227502335659,0.5049107166708484,0.18768876396858264,1.0647951432183844,0,0,0.00014629707554105097
UKX,3728,39,2011-09-19,2026-08-21,101.0,0.06389618228489219,0.5002094371634482,0.16157214998549965,1.0616195565809523,0,0,2.6930514442566418e-05
DAX,3307,39,2013-09-30,2026-08-21,101.0,0.0810679476506992,0.5009533803885067,0.16575271246173662,1.0677151912619525,0,0,2.4638790187513526e-05
NKY,3543,39,2011-09-20,2026-08-21,59.0,0.11568331165622381,0.5020246545827868,0.22030616342314008,1.0940145478155205,0,0,1.0118409916557485
HSI,3576,39,2011-09-19,2026-08-21,65.0,0.08880457159905696,0.5034130275143022,0.2102766902278255,1.0820859429214198,0,0,2.7683120433226935e-05
